map,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_speed_mps,avg_vehicles_count
manhattan8x8_100pc,low,fixed_base,1,64.652632,0.0,139.0,87.494737,0.0,164.9,3.83549,95.0
manhattan8x8_100pc,low,fixed_program0,1,31.052632,0.0,68.3,82.315789,0.0,154.7,6.809889,95.0
manhattan8x8_100pc,low,fixed_tuned,1,23.957895,0.0,60.5,80.810526,0.0,153.6,7.437307,95.0
manhattan8x8_100pc,low,mp_base,1,13.5,0.0,30.0,78.734043,0.0,148.7,8.734497,94.0
manhattan8x8_100pc,low,rbl_base,1,0.473684,0.0,2.3,68.684211,0.0,122.3,10.828036,95.0
