map,population_set,demand,scenario,delta_baseline_scenario,avg_mean_wait_s,avg_mean_travel_s,avg_mean_time_loss_s,wait_delta_vs_base_pct,travel_delta_vs_base_pct,time_loss_delta_vs_base_s
manhattan8x8_100pc,balanced,high,fixed_program0,fixed_program0,67.753,184.386821,101.055772,0.0,0.0,0.0
manhattan8x8_100pc,balanced,high,mp_base,fixed_program0,32.074964,152.585,69.268178,-52.659,-17.2473,-31.7876
manhattan8x8_100pc,balanced,high,mp_downstream_b04,fixed_program0,34.714036,156.887571,73.57825,-48.7638,-14.9139,-27.4775
manhattan8x8_100pc,balanced,high,mp_fair_mu5_w20,fixed_program0,31.813429,152.227607,68.909887,-53.045,-17.4412,-32.1459
manhattan8x8_100pc,balanced,high,mp_lta_g060_sf050,fixed_program0,32.773072,152.589786,69.266688,-51.6286,-17.2447,-31.7891
manhattan8x8_100pc,balanced,high,mp_nmin_a080_f2,fixed_program0,32.032678,155.283178,72.00595,-52.7214,-15.784,-29.0498
manhattan8x8_100pc,balanced,high,mp_platoon_x4,fixed_program0,31.941143,152.433322,69.1162,-52.8565,-17.3296,-31.9396
manhattan8x8_100pc,balanced,high,mp_spillback_on90_off80,fixed_program0,32.074964,152.585,69.268178,-52.659,-17.2473,-31.7876
manhattan8x8_100pc,balanced,high,mp_switch_rel005,fixed_program0,32.074964,152.585,69.268178,-52.659,-17.2473,-31.7876
manhattan8x8_100pc,balanced,low,fixed_program0,fixed_program0,65.849167,176.331,93.415831,0.0,0.0,0.0
manhattan8x8_100pc,balanced,low,mp_base,fixed_program0,26.694667,140.323333,57.426009,-59.4609,-20.4205,-35.9898
manhattan8x8_100pc,balanced,low,mp_downstream_b04,fixed_program0,31.75925,148.223083,65.338293,-51.7697,-15.9404,-28.0775
manhattan8x8_100pc,balanced,low,mp_fair_mu5_w20,fixed_program0,26.598917,140.16,57.264091,-59.6063,-20.5131,-36.1517
manhattan8x8_100pc,balanced,low,mp_lta_g060_sf050,fixed_program0,30.556917,143.736083,60.82911,-53.5956,-18.4851,-32.5867
manhattan8x8_100pc,balanced,low,mp_nmin_a080_f2,fixed_program0,23.535833,137.468167,54.57571,-64.258,-22.0397,-38.8401
manhattan8x8_100pc,balanced,low,mp_platoon_x4,fixed_program0,26.918917,140.7635,57.872737,-59.1203,-20.1709,-35.5431
manhattan8x8_100pc,balanced,low,mp_spillback_on90_off80,fixed_program0,26.694667,140.323333,57.426009,-59.4609,-20.4205,-35.9898
manhattan8x8_100pc,balanced,low,mp_switch_rel005,fixed_program0,26.694667,140.323333,57.426009,-59.4609,-20.4205,-35.9898
manhattan8x8_100pc,balanced,medium,fixed_program0,fixed_program0,66.8947,180.5614,97.320839,0.0,0.0,0.0
manhattan8x8_100pc,balanced,medium,mp_base,fixed_program0,29.48235,146.76175,63.537012,-55.9272,-18.7192,-33.7838
manhattan8x8_100pc,balanced,medium,mp_downstream_b04,fixed_program0,33.04855,152.26795,69.044181,-50.5962,-15.6697,-28.2767
manhattan8x8_100pc,balanced,medium,mp_fair_mu5_w20,fixed_program0,29.6287,146.9829,63.758017,-55.7084,-18.5967,-33.5628
manhattan8x8_100pc,balanced,medium,mp_lta_g060_sf050,fixed_program0,31.4544,147.9965,64.761399,-52.9792,-18.0354,-32.5594
manhattan8x8_100pc,balanced,medium,mp_nmin_a080_f2,fixed_program0,26.69855,144.78445,61.573899,-60.0887,-19.8143,-35.7469
manhattan8x8_100pc,balanced,medium,mp_platoon_x4,fixed_program0,29.42515,146.63045,63.40706,-56.0127,-18.7919,-33.9138
manhattan8x8_100pc,balanced,medium,mp_spillback_on90_off80,fixed_program0,29.48235,146.76175,63.537012,-55.9272,-18.7192,-33.7838
manhattan8x8_100pc,balanced,medium,mp_switch_rel005,fixed_program0,29.48235,146.76175,63.537012,-55.9272,-18.7192,-33.7838
