map,population_set,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_time_loss_s,avg_mean_speed_mps,avg_vehicles_count,avg_planned_trips,avg_completed_trips,avg_unfinished_trips,avg_censoring_rate,avg_switch_margin_count,avg_switch_max_green_count,avg_nmin_hold_step_count,avg_spillback_block_event_count,avg_spillback_release_event_count,avg_platoon_extend_step_count,avg_fairness_positive_bonus_count,avg_fairness_bonus_sum
bologna,custom,high,mp_base,1,1881.746181,0.0,6296.75,2382.980683,0.0,7177.0,2137.921999,4.545459,2226.0,5000.0,2226.0,2774.0,55.48,7005.0,1283.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,custom,high,mp_spillback_on90_off80,1,1881.746181,0.0,6296.75,2382.980683,0.0,7177.0,2137.921999,4.545459,2226.0,5000.0,2226.0,2774.0,55.48,7005.0,1283.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,custom,high,mp_spillback_on97_off90,1,1881.746181,0.0,6296.75,2382.980683,0.0,7177.0,2137.921999,4.545459,2226.0,5000.0,2226.0,2774.0,55.48,7005.0,1283.0,0.0,0.0,0.0,0.0,0.0,0.0
