map,demand,scenario,avg_mean_wait_s,avg_mean_travel_s,wait_delta_vs_base_pct,travel_delta_vs_base_pct
manhattan3x3_100pc,low,mp_base,1.545455,16.272727,0.0,0.0
manhattan3x3_100pc,low,mp_fairness,1.545455,16.272727,0.0,0.0
