run_id,map,effective_map,demand,pop_seed,scenario,controller,flags,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_speed_mps,mean_co2_g,mean_fuel_g
manhattan8x8_100pc__low__seed1__mp_base,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_base,mp,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0009_20260430_174205/populations/manhattan8x8_100pc_low_seed1.yaml,ok,3.446,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0009_20260430_174205/runs/manhattan8x8_100pc__low__seed1__mp_base/vehicle_metrics.csv,94,13.5,30.0,78.734043,148.7,8.734497,209.94401,67.849675
manhattan8x8_100pc__low__seed1__fixed_base,manhattan8x8_100pc,manhattan8x8_100pc,low,1,fixed_base,fixed,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0009_20260430_174205/populations/manhattan8x8_100pc_low_seed1.yaml,ok,1.822,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0009_20260430_174205/runs/manhattan8x8_100pc__low__seed1__fixed_base/vehicle_metrics.csv,95,64.652632,139.0,87.494737,164.9,3.83549,142.915126,46.227366
manhattan8x8_100pc__low__seed1__rbl_base,manhattan8x8_100pc,manhattan8x8_100pc_rbl,low,1,rbl_base,fixed,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0009_20260430_174205/populations/manhattan8x8_100pc_rbl_low_seed1.yaml,ok,1.758,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0009_20260430_174205/runs/manhattan8x8_100pc__low__seed1__rbl_base/vehicle_metrics.csv,95,0.473684,2.3,68.684211,122.3,10.828036,213.495883,68.98982
