map,population_set,demand,scenario,delta_baseline_scenario,avg_mean_wait_s,avg_mean_travel_s,avg_mean_time_loss_s,wait_delta_vs_base_pct,travel_delta_vs_base_pct,time_loss_delta_vs_base_s
bologna,balanced,high,fixed_program0,fixed_program0,746.37059,1131.607102,955.720426,0.0,0.0,0.0
bologna,balanced,high,fixed_tuned,fixed_program0,933.994772,1334.850421,1161.495547,25.1382,17.9606,205.7751
bologna,balanced,high,mp_base,fixed_program0,1043.291221,1404.225317,1223.797894,39.7819,24.0912,268.0775
bologna,balanced,high,mp_downstream_b04,fixed_program0,1155.45622,1504.763489,1327.904982,54.81,32.9758,372.1846
bologna,balanced,high,mp_downstream_b08,fixed_program0,1179.929752,1537.329307,1360.873897,58.089,35.8536,405.1535
bologna,balanced,high,mp_fair_mu3_w30,fixed_program0,964.766334,1317.798254,1140.784419,29.261,16.4537,185.064
bologna,balanced,high,mp_fair_mu5_w20,fixed_program0,969.359517,1332.978823,1152.64802,29.8764,17.7952,196.9276
bologna,balanced,high,mp_lta_g040_sf050,fixed_program0,1070.58002,1416.650866,1237.622564,43.4381,25.1893,281.9021
bologna,balanced,high,mp_lta_g060_sf050,fixed_program0,1014.760782,1353.406376,1173.900785,35.9594,19.6004,218.1804
bologna,balanced,high,mp_nmin_a080_f2,fixed_program0,1099.998711,1481.195719,1298.340663,47.3797,30.8931,342.6202
bologna,balanced,high,mp_nmin_a120_f4,fixed_program0,1152.048837,1519.699565,1340.3446,54.3535,34.2957,384.6242
bologna,balanced,high,mp_platoon_x2,fixed_program0,1111.881086,1496.041059,1312.805973,48.9717,32.205,357.0855
bologna,balanced,high,mp_platoon_x4,fixed_program0,1129.176842,1507.033791,1325.482068,51.289,33.1764,369.7616
bologna,balanced,high,mp_program0,fixed_program0,711.300381,1114.493014,932.167214,-4.6988,-1.5124,-23.5532
bologna,balanced,high,mp_spillback_on85_off70,fixed_program0,1184.053036,1553.933829,1375.252568,58.6414,37.321,419.5321
bologna,balanced,high,mp_spillback_on90_off80,fixed_program0,1194.567937,1583.257399,1402.585818,60.0502,39.9123,446.8654
bologna,balanced,high,mp_super,fixed_program0,729.463698,1144.080625,961.686731,-2.2652,1.1023,5.9663
bologna,balanced,high,mp_switch_eps1,fixed_program0,1036.177682,1388.405948,1206.817382,38.8288,22.6933,251.097
bologna,balanced,high,mp_switch_rel005,fixed_program0,962.408777,1316.149408,1135.108094,28.9452,16.308,179.3877
bologna,balanced,high,mp_switch_rel010,fixed_program0,1031.237897,1390.598533,1211.717115,38.167,22.887,255.9967
bologna,balanced,low,fixed_program0,fixed_program0,203.371333,475.541333,305.921973,0.0,0.0,0.0
bologna,balanced,low,fixed_tuned,fixed_program0,263.068667,538.274,368.643167,29.3539,13.1918,62.7212
bologna,balanced,low,mp_base,fixed_program0,431.402806,696.496994,524.323961,112.1257,46.464,218.402
bologna,balanced,low,mp_downstream_b04,fixed_program0,562.65576,865.653715,696.752059,176.6642,82.0354,390.8301
bologna,balanced,low,mp_downstream_b08,fixed_program0,568.803041,873.177609,705.569302,179.6869,83.6176,399.6473
bologna,balanced,low,mp_fair_mu3_w30,fixed_program0,380.382,644.054667,472.653773,87.0382,35.4361,166.7318
bologna,balanced,low,mp_fair_mu5_w20,fixed_program0,336.199333,597.088667,426.45488,65.313,25.5598,120.5329
bologna,balanced,low,mp_lta_g040_sf050,fixed_program0,394.223333,660.511333,488.321967,93.8441,38.8967,182.4
bologna,balanced,low,mp_lta_g060_sf050,fixed_program0,416.629259,682.784235,510.896921,104.8614,43.5804,204.9749
bologna,balanced,low,mp_nmin_a080_f2,fixed_program0,481.113409,750.842562,577.914103,136.5689,57.8922,271.9921
bologna,balanced,low,mp_nmin_a120_f4,fixed_program0,429.506,696.121333,523.515707,111.193,46.385,217.5937
bologna,balanced,low,mp_platoon_x2,fixed_program0,402.287333,667.564667,495.02812,97.8093,40.3799,189.1061
bologna,balanced,low,mp_platoon_x4,fixed_program0,433.876667,701.862667,529.039027,113.3421,47.5924,223.1171
bologna,balanced,low,mp_program0,fixed_program0,194.095333,463.247333,293.61246,-4.5611,-2.5853,-12.3095
bologna,balanced,low,mp_spillback_on85_off70,fixed_program0,413.572,678.583333,506.579367,103.3581,42.697,200.6574
bologna,balanced,low,mp_spillback_on90_off80,fixed_program0,431.765333,698.232,525.970473,112.3039,46.8289,220.0485
bologna,balanced,low,mp_super,fixed_program0,191.370667,464.692667,295.072627,-5.9009,-2.2813,-10.8493
bologna,balanced,low,mp_switch_eps1,fixed_program0,414.323333,680.378667,507.908213,103.7275,43.0746,201.9862
bologna,balanced,low,mp_switch_rel005,fixed_program0,431.402806,696.496994,524.323961,112.1257,46.464,218.402
bologna,balanced,low,mp_switch_rel010,fixed_program0,431.835561,696.581551,524.290989,112.3385,46.4818,218.369
bologna,balanced,medium,fixed_program0,fixed_program0,528.503362,868.195696,692.75348,0.0,0.0,0.0
bologna,balanced,medium,fixed_tuned,fixed_program0,535.978667,873.681,700.694367,1.4144,0.6318,7.9409
bologna,balanced,medium,mp_base,fixed_program0,635.19297,947.567195,769.224935,20.1871,9.1421,76.4715
bologna,balanced,medium,mp_downstream_b04,fixed_program0,941.508454,1272.390499,1100.899533,78.1462,46.5557,408.1461
bologna,balanced,medium,mp_downstream_b08,fixed_program0,1105.40818,1451.356055,1275.523536,109.1582,67.1692,582.7701
bologna,balanced,medium,mp_fair_mu3_w30,fixed_program0,698.27737,1022.285714,844.845491,32.1235,17.7483,152.092
bologna,balanced,medium,mp_fair_mu5_w20,fixed_program0,686.449848,1003.387707,825.147423,29.8856,15.5716,132.3939
bologna,balanced,medium,mp_lta_g040_sf050,fixed_program0,616.112666,923.903039,745.489601,16.5769,6.4165,52.7361
bologna,balanced,medium,mp_lta_g060_sf050,fixed_program0,615.200205,921.063779,742.919345,16.4042,6.0894,50.1659
