map,population_set,demand,scenario,delta_baseline_scenario,avg_mean_wait_s,avg_mean_travel_s,avg_mean_time_loss_s,wait_delta_vs_base_pct,travel_delta_vs_base_pct,time_loss_delta_vs_base_s
bologna,balanced,medium,mp_nmin_a080_f2,fixed_program0,719.55284,1042.769019,863.808475,36.1492,20.1076,171.055
bologna,balanced,medium,mp_nmin_a120_f4,fixed_program0,738.870332,1055.528008,876.709948,39.8043,21.5772,183.9565
bologna,balanced,medium,mp_platoon_x2,fixed_program0,689.903039,1004.144418,826.937426,30.539,15.6588,134.1839
bologna,balanced,medium,mp_platoon_x4,fixed_program0,679.187906,997.394602,820.49714,28.5116,14.8813,127.7437
bologna,balanced,medium,mp_program0,fixed_program0,435.511853,753.904841,578.631519,-17.5953,-13.1642,-114.122
bologna,balanced,medium,mp_spillback_on85_off70,fixed_program0,659.846546,971.742429,792.987125,24.8519,11.9267,100.2336
bologna,balanced,medium,mp_spillback_on90_off80,fixed_program0,622.60485,934.027322,756.279095,17.8053,7.5826,63.5256
bologna,balanced,medium,mp_super,fixed_program0,379.898,706.434667,532.650003,-28.1181,-18.6319,-160.1035
bologna,balanced,medium,mp_switch_eps1,fixed_program0,694.453644,1007.016079,829.22209,31.4,15.9895,136.4686
bologna,balanced,medium,mp_switch_rel005,fixed_program0,639.174777,948.566827,770.53816,20.9405,9.2573,77.7847
bologna,balanced,medium,mp_switch_rel010,fixed_program0,689.618219,1006.199249,828.914493,30.4851,15.8954,136.161
bologna,peak,high,fixed_program0,fixed_program0,1355.563006,1939.488125,1732.034652,0.0,0.0,0.0
bologna,peak,high,fixed_tuned,fixed_program0,1435.625702,1960.38116,1761.040197,5.9062,1.0772,29.0055
bologna,peak,high,mp_base,fixed_program0,1184.748489,1626.461103,1423.864909,-12.601,-16.1397,-308.1697
bologna,peak,high,mp_downstream_b04,fixed_program0,1484.786325,1908.73344,1711.441827,9.5328,-1.5857,-20.5928
bologna,peak,high,mp_downstream_b08,fixed_program0,1468.844765,1914.019598,1710.086529,8.3568,-1.3132,-21.9481
bologna,peak,high,mp_fair_mu3_w30,fixed_program0,1251.640701,1710.877749,1510.420637,-7.6664,-11.7872,-221.614
bologna,peak,high,mp_fair_mu5_w20,fixed_program0,1239.252593,1706.022222,1507.357889,-8.5802,-12.0375,-224.6768
bologna,peak,high,mp_lta_g040_sf050,fixed_program0,1351.085294,1805.595956,1600.426993,-0.3303,-6.9035,-131.6077
bologna,peak,high,mp_lta_g060_sf050,fixed_program0,1404.105792,1843.710425,1637.539459,3.581,-4.9383,-94.4952
bologna,peak,high,mp_nmin_a080_f2,fixed_program0,1142.853204,1612.852039,1409.576113,-15.6916,-16.8414,-322.4585
bologna,peak,high,mp_nmin_a120_f4,fixed_program0,1026.651888,1439.582923,1239.014023,-24.2638,-25.7751,-493.0206
bologna,peak,high,mp_platoon_x2,fixed_program0,1164.337959,1600.794824,1401.08497,-14.1067,-17.463,-330.9497
bologna,peak,high,mp_platoon_x4,fixed_program0,1211.996918,1654.92527,1452.460636,-10.5909,-14.6721,-279.574
bologna,peak,high,mp_program0,fixed_program0,1432.3618,2081.826898,1880.673168,5.6655,7.339,148.6385
bologna,peak,high,mp_spillback_on85_off70,fixed_program0,1257.575516,1712.068091,1510.877606,-7.2285,-11.7258,-221.157
bologna,peak,high,mp_spillback_on90_off80,fixed_program0,1245.048411,1689.42587,1490.554474,-8.1527,-12.8932,-241.4802
bologna,peak,high,mp_super,fixed_program0,1299.595238,1965.443358,1762.571892,-4.1287,1.3383,30.5372
bologna,peak,high,mp_switch_eps1,fixed_program0,1288.355067,1732.544337,1531.617671,-4.9579,-10.67,-200.417
bologna,peak,high,mp_switch_rel005,fixed_program0,1091.055661,1528.688754,1327.246119,-19.5127,-21.1808,-404.7885
bologna,peak,high,mp_switch_rel010,fixed_program0,1217.696655,1667.707805,1467.911699,-10.1704,-14.013,-264.123
bologna,peak,low,fixed_program0,fixed_program0,698.902276,1117.52008,913.171526,0.0,0.0,0.0
bologna,peak,low,fixed_tuned,fixed_program0,727.909091,1149.546791,945.785702,4.1503,2.8659,32.6142
bologna,peak,low,mp_base,fixed_program0,735.158677,1123.704929,917.551634,5.1876,0.5534,4.3801
bologna,peak,low,mp_downstream_b04,fixed_program0,914.44335,1309.666667,1112.555755,30.8399,17.194,199.3842
bologna,peak,low,mp_downstream_b08,fixed_program0,901.215307,1287.454163,1089.496863,28.9473,15.2064,176.3253
bologna,peak,low,mp_fair_mu3_w30,fixed_program0,745.916,1133.496667,928.120273,6.7268,1.4296,14.9487
bologna,peak,low,mp_fair_mu5_w20,fixed_program0,734.720667,1122.659333,916.243027,5.1249,0.4599,3.0715
bologna,peak,low,mp_lta_g040_sf050,fixed_program0,754.58623,1136.760027,930.300455,7.9673,1.7217,17.1289
bologna,peak,low,mp_lta_g060_sf050,fixed_program0,702.983333,1083.764667,877.9879,0.5839,-3.0206,-35.1836
bologna,peak,low,mp_nmin_a080_f2,fixed_program0,738.855003,1135.695711,929.329176,5.7165,1.6264,16.1576
bologna,peak,low,mp_nmin_a120_f4,fixed_program0,830.31,1226.935333,1020.13268,18.802,9.7909,106.9612
bologna,peak,low,mp_platoon_x2,fixed_program0,699.896412,1085.747461,879.715538,0.1422,-2.8431,-33.456
bologna,peak,low,mp_platoon_x4,fixed_program0,807.723746,1193.208696,986.465003,15.5703,6.7729,73.2935
bologna,peak,low,mp_program0,fixed_program0,461.791333,862.796,658.198907,-33.9262,-22.7937,-254.9726
bologna,peak,low,mp_spillback_on85_off70,fixed_program0,774.909578,1164.03282,958.207897,10.8752,4.1621,45.0364
bologna,peak,low,mp_spillback_on90_off80,fixed_program0,727.879333,1117.237333,911.21518,4.1461,-0.0253,-1.9563
bologna,peak,low,mp_super,fixed_program0,452.666,867.255333,662.898493,-35.2319,-22.3947,-250.273
bologna,peak,low,mp_switch_eps1,fixed_program0,783.818,1158.472667,951.773153,12.1499,3.6646,38.6016
bologna,peak,low,mp_switch_rel005,fixed_program0,735.158677,1123.704929,917.551634,5.1876,0.5534,4.3801
bologna,peak,low,mp_switch_rel010,fixed_program0,764.562667,1150.857333,944.45138,9.3948,2.9831,31.2799
bologna,peak,medium,fixed_program0,fixed_program0,998.771121,1498.384409,1297.481601,0.0,0.0,0.0
bologna,peak,medium,fixed_tuned,fixed_program0,1180.152072,1678.676701,1477.327498,18.1604,12.0324,179.8459
bologna,peak,medium,mp_base,fixed_program0,1255.093102,1681.071519,1479.271968,25.6637,12.1923,181.7904
bologna,peak,medium,mp_downstream_b04,fixed_program0,1261.469965,1680.028857,1478.283145,26.3022,12.1227,180.8015
bologna,peak,medium,mp_downstream_b08,fixed_program0,1278.087868,1713.731293,1509.584212,27.966,14.3719,212.1026
bologna,peak,medium,mp_fair_mu3_w30,fixed_program0,1232.264947,1687.300983,1485.803309,23.3781,12.608,188.3217
bologna,peak,medium,mp_fair_mu5_w20,fixed_program0,1257.178808,1682.375717,1483.336954,25.8726,12.2793,185.8554
bologna,peak,medium,mp_lta_g040_sf050,fixed_program0,1334.274535,1763.131134,1557.851151,33.5916,17.6688,260.3696
bologna,peak,medium,mp_lta_g060_sf050,fixed_program0,1025.8536,1411.904149,1211.416848,2.7116,-5.7716,-86.0648
bologna,peak,medium,mp_nmin_a080_f2,fixed_program0,1258.727854,1696.209589,1493.695087,26.0277,13.2026,196.2135
bologna,peak,medium,mp_nmin_a120_f4,fixed_program0,1348.048831,1805.119409,1595.934346,34.9707,20.471,298.4527
bologna,peak,medium,mp_platoon_x2,fixed_program0,1198.609436,1635.074268,1427.738637,20.0084,9.1225,130.257
bologna,peak,medium,mp_platoon_x4,fixed_program0,1189.891253,1647.058708,1441.657136,19.1355,9.9223,144.1755
bologna,peak,medium,mp_program0,fixed_program0,901.633298,1446.065673,1241.684061,-9.7257,-3.4917,-55.7975
bologna,peak,medium,mp_spillback_on85_off70,fixed_program0,1225.68088,1638.9614,1441.023829,22.7189,9.3819,143.5422
bologna,peak,medium,mp_spillback_on90_off80,fixed_program0,960.201975,1333.48642,1134.274183,-3.8617,-11.0051,-163.2074
bologna,peak,medium,mp_super,fixed_program0,874.142111,1418.733542,1212.857085,-12.4782,-5.3158,-84.6245
bologna,peak,medium,mp_switch_eps1,fixed_program0,1270.017515,1706.021268,1501.614441,27.158,13.8574,204.1328
bologna,peak,medium,mp_switch_rel005,fixed_program0,1251.208045,1668.799308,1468.13061,25.2748,11.3732,170.649
bologna,peak,medium,mp_switch_rel010,fixed_program0,1074.888109,1467.935861,1270.210679,7.6211,-2.0321,-27.2709
bologna,skewed,high,fixed_program0,fixed_program0,1220.728745,1749.207287,1545.25092,0.0,0.0,0.0
bologna,skewed,high,fixed_tuned,fixed_program0,1318.840149,1822.561338,1624.126008,8.0371,4.1936,78.8751
bologna,skewed,high,mp_base,fixed_program0,1022.532371,1383.521841,1180.659017,-16.2359,-20.9058,-364.5919
bologna,skewed,high,mp_downstream_b04,fixed_program0,1387.145929,1814.105991,1605.629688,13.6326,3.7102,60.3788
bologna,skewed,high,mp_downstream_b08,fixed_program0,1470.800404,1890.741283,1686.062153,20.4854,8.0913,140.8112
bologna,skewed,high,mp_fair_mu3_w30,fixed_program0,994.263378,1385.72334,1185.108713,-18.5517,-20.7799,-360.1422
bologna,skewed,high,mp_fair_mu5_w20,fixed_program0,1014.763465,1413.487759,1215.833397,-16.8723,-19.1927,-329.4175
bologna,skewed,high,mp_lta_g040_sf050,fixed_program0,920.354888,1282.930011,1079.930784,-24.6061,-26.6565,-465.3201
bologna,skewed,high,mp_lta_g060_sf050,fixed_program0,913.414286,1270.904633,1065.94561,-25.1747,-27.344,-479.3053
bologna,skewed,high,mp_nmin_a080_f2,fixed_program0,958.982937,1340.499603,1137.70179,-21.4418,-23.3653,-407.5491
bologna,skewed,high,mp_nmin_a120_f4,fixed_program0,982.113378,1360.778737,1155.221267,-19.547,-22.206,-390.0297
bologna,skewed,high,mp_platoon_x2,fixed_program0,1035.215909,1404.030172,1199.045823,-15.1969,-19.7333,-346.2051
bologna,skewed,high,mp_platoon_x4,fixed_program0,997.027435,1360.549105,1162.86705,-18.3252,-22.2191,-382.3839
bologna,skewed,high,mp_program0,fixed_program0,1203.844618,1801.200606,1600.477552,-1.3831,2.9724,55.2266
bologna,skewed,high,mp_spillback_on85_off70,fixed_program0,1051.783699,1422.768025,1226.108973,-13.8397,-18.6621,-319.1419
bologna,skewed,high,mp_spillback_on90_off80,fixed_program0,969.08766,1342.129421,1136.024056,-20.614,-23.2721,-409.2269
bologna,skewed,high,mp_super,fixed_program0,1144.35254,1733.397225,1530.291526,-6.2566,-0.9038,-14.9594
bologna,skewed,high,mp_switch_eps1,fixed_program0,916.154963,1276.567281,1079.616665,-24.9502,-27.0202,-465.6343
bologna,skewed,high,mp_switch_rel005,fixed_program0,978.487322,1338.45523,1133.908871,-19.844,-23.4822,-411.342
bologna,skewed,high,mp_switch_rel010,fixed_program0,927.168457,1289.996163,1088.81538,-24.048,-26.2525,-456.4355
bologna,skewed,low,fixed_program0,fixed_program0,404.602,781.496,578.02844,0.0,0.0,0.0
bologna,skewed,low,fixed_tuned,fixed_program0,485.292667,872.76,669.295607,19.9432,11.6781,91.2672
bologna,skewed,low,mp_base,fixed_program0,672.088,1032.998667,827.46218,66.1109,32.1822,249.4337
bologna,skewed,low,mp_downstream_b04,fixed_program0,773.787304,1144.1723,945.03136,91.2465,46.408,367.0029
bologna,skewed,low,mp_downstream_b08,fixed_program0,871.151973,1243.08984,1044.435088,115.3108,59.0654,466.4066
bologna,skewed,low,mp_fair_mu3_w30,fixed_program0,696.628,1067.380667,862.063607,72.1761,36.5817,284.0352
bologna,skewed,low,mp_fair_mu5_w20,fixed_program0,628.776667,985.519333,780.47392,55.4062,26.1068,202.4455
bologna,skewed,low,mp_lta_g040_sf050,fixed_program0,663.693333,1030.761333,825.330487,64.0361,31.8959,247.302
bologna,skewed,low,mp_lta_g060_sf050,fixed_program0,588.067333,945.662667,740.52122,45.3446,21.0067,162.4928
bologna,skewed,low,mp_nmin_a080_f2,fixed_program0,713.599333,1078.851333,873.44986,76.3707,38.0495,295.4214
bologna,skewed,low,mp_nmin_a120_f4,fixed_program0,662.572,1029.442,823.479953,63.759,31.7271,245.4515
bologna,skewed,low,mp_platoon_x2,fixed_program0,644.274,994.086667,788.815947,59.2365,27.203,210.7875
bologna,skewed,low,mp_platoon_x4,fixed_program0,560.870667,913.071333,707.971727,38.6228,16.8363,129.9433
bologna,skewed,low,mp_program0,fixed_program0,276.558,632.18,428.703513,-31.6469,-19.1064,-149.3249
bologna,skewed,low,mp_spillback_on85_off70,fixed_program0,664.654667,1027.991333,822.701893,64.2737,31.5415,244.6735
bologna,skewed,low,mp_spillback_on90_off80,fixed_program0,646.634,1008.517333,803.259287,59.8198,29.0496,225.2308
bologna,skewed,low,mp_super,fixed_program0,248.604667,603.553333,400.07588,-38.5557,-22.7695,-177.9526
bologna,skewed,low,mp_switch_eps1,fixed_program0,631.191333,982.008667,776.76786,56.003,25.6575,198.7394
bologna,skewed,low,mp_switch_rel005,fixed_program0,672.088,1032.998667,827.46218,66.1109,32.1822,249.4337
bologna,skewed,low,mp_switch_rel010,fixed_program0,668.381333,1029.628667,824.172627,65.1948,31.751,246.1442
bologna,skewed,medium,fixed_program0,fixed_program0,750.691057,1197.586475,997.064054,0.0,0.0,0.0
bologna,skewed,medium,fixed_tuned,fixed_program0,1005.800821,1474.287206,1274.917449,33.9833,23.1049,277.8534
bologna,skewed,medium,mp_base,fixed_program0,1190.67602,1594.179422,1389.054996,58.6107,33.116,391.9909
bologna,skewed,medium,mp_downstream_b04,fixed_program0,1271.881586,1679.887819,1478.736261,69.4281,40.2728,481.6722
bologna,skewed,medium,mp_downstream_b08,fixed_program0,1213.362153,1627.726482,1426.20354,61.6327,35.9172,429.1395
bologna,skewed,medium,mp_fair_mu3_w30,fixed_program0,1257.346997,1681.149756,1476.78039,67.4919,40.3782,479.7163
bologna,skewed,medium,mp_fair_mu5_w20,fixed_program0,1082.145639,1503.917866,1298.828357,44.1533,25.5791,301.7643
bologna,skewed,medium,mp_lta_g040_sf050,fixed_program0,1230.406919,1650.004119,1444.740638,63.9032,37.7775,447.6766
bologna,skewed,medium,mp_lta_g060_sf050,fixed_program0,1132.17354,1554.857085,1349.726468,50.8175,29.8326,352.6624
bologna,skewed,medium,mp_nmin_a080_f2,fixed_program0,1188.108715,1599.251761,1397.219652,58.2687,33.5396,400.1556
bologna,skewed,medium,mp_nmin_a120_f4,fixed_program0,1293.623775,1714.535577,1505.194069,72.3244,43.1659,508.13
bologna,skewed,medium,mp_platoon_x2,fixed_program0,1188.044002,1607.854711,1397.840091,58.26,34.2579,400.776
bologna,skewed,medium,mp_platoon_x4,fixed_program0,1123.341544,1539.080049,1332.74647,49.641,28.5151,335.6824
bologna,skewed,medium,mp_program0,fixed_program0,678.458588,1147.860489,939.980591,-9.6221,-4.1522,-57.0835
bologna,skewed,medium,mp_spillback_on85_off70,fixed_program0,1154.453145,1554.390672,1353.811819,53.7854,29.7936,356.7478
bologna,skewed,medium,mp_spillback_on90_off80,fixed_program0,1042.484944,1425.34382,1226.89636,38.87,19.018,229.8323
bologna,skewed,medium,mp_super,fixed_program0,597.236649,1083.591789,876.14032,-20.4418,-9.5187,-120.9237
bologna,skewed,medium,mp_switch_eps1,fixed_program0,1243.342869,1654.393681,1451.095124,65.6264,38.144,454.0311
bologna,skewed,medium,mp_switch_rel005,fixed_program0,1190.67602,1594.179422,1389.054996,58.6107,33.116,391.9909
bologna,skewed,medium,mp_switch_rel010,fixed_program0,1145.105904,1533.212746,1329.672268,52.5402,28.0252,332.6082
