run_id,map,effective_map,demand,demand_vehicles,demand_start_time,demand_end_time,population_set,pop_seed,scenario,controller,flags,driver_profile,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_time_loss_s,mean_speed_mps,mean_co2_g,mean_fuel_g,planned_trips,completed_trips,unfinished_trips,censoring_rate,mp_switch_margin_count,mp_switch_max_green_count,mp_nmin_hold_step_count,mp_spillback_block_event_count,mp_spillback_release_event_count,mp_spillback_block_step_count,mp_platoon_extend_step_count,mp_fairness_positive_bonus_count,mp_fairness_bonus_sum
bologna__balanced__low__seed1__fixed_tuned,bologna,bologna,low,1500,0.0,3600.0,balanced,1,fixed_tuned,fixed,--fixed-program-id 0 --fixed-main-green-seconds 30,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,36.499,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__fixed_tuned/vehicle_metrics.csv,1500,263.068667,588.2,538.274,1036.1,368.643167,7.540757,-2469.262688,-3705.090005,1500,1500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__balanced__low__seed1__mp_downstream_b04,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_downstream_b04,mp,--downstream-penalty --downstream-beta 0.4 --downstream-alpha 0.30,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,342.846,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_downstream_b04/vehicle_metrics.csv,1467,562.65576,2249.3,865.653715,2902.2,696.752059,6.999557,-1275596.455925,-1277189.682811,1500,1467,33,2.2,18684.0,1238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__balanced__low__seed1__mp_downstream_b08,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_downstream_b08,mp,--downstream-penalty --downstream-beta 0.8 --downstream-alpha 0.30,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,347.073,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_downstream_b08/vehicle_metrics.csv,1447,568.803041,2465.4,873.177609,3126.2,705.569302,7.170297,-1472903.000554,-1474450.22754,1500,1447,53,3.533333,18918.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__balanced__low__seed1__mp_platoon_x4,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_platoon_x4,mp,--platoon-extension --platoon-headway-threshold 2.1 --platoon-gap-out-seconds 2.1 --platoon-max-extra-green 4.0 --platoon-guard-occ 0.90,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,439.898,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_platoon_x4/vehicle_metrics.csv,1500,433.876667,1808.9,701.862667,2261.3,529.039027,8.692371,-3743220.154253,-3744567.993826,1500,1500,0,0.0,3568.0,1107.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0
bologna__balanced__low__seed1__mp_switch_rel005,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_switch_rel005,mp,--switch-epsilon-rel 0.05,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,294.035,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_switch_rel005/vehicle_metrics.csv,1497,431.402806,1650.6,696.496994,2199.2,524.323961,8.730434,-3182655.461885,-3184002.147279,1500,1497,3,0.2,3683.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__skewed__low__seed1__mp_program0,bologna,bologna,low,1500,0.0,3600.0,skewed,1,mp_program0,mp,--program0-hybrid --program0-load-ref 3.5 --program0-enter-mp-load 0.60 --program0-exit-fixed-load 0.40 --program0-mode-streak 4,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_skewed_low_seed1.yaml,ok,172.191,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__skewed__low__seed1__mp_program0/vehicle_metrics.csv,1500,276.558,610.1,632.18,1201.1,428.703513,7.815335,-21512.507044,-22940.535452,1500,1500,0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__balanced__low__seed1__mp_platoon_x2,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_platoon_x2,mp,--platoon-extension --platoon-headway-threshold 2.1 --platoon-gap-out-seconds 2.1 --platoon-max-extra-green 2.0 --platoon-guard-occ 0.90,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,452.906,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_platoon_x2/vehicle_metrics.csv,1500,402.287333,1535.75,667.564667,2041.0,495.02812,8.87232,-3424732.653188,-3426042.669478,1500,1500,0,0.0,3654.0,1100.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0
bologna__balanced__low__seed1__mp_super,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_super,mp,--super-router --super-load-ref 3.5 --super-low-load 0.40 --super-high-load 0.65 --super-imbalance-threshold 0.55 --super-platoon-threshold 0.70 --super-downstream-threshold 0.92 --super-mode-streak 4 --super-nmin-load 0.78 --super-lta-gain 0.60 --super-lta-sat-flow 0.50 --super-nmin-alpha 1.20 --super-nmin-floor 4 --super-nmin-min-green 4.0 --super-nmin-demand-gain 0.40 --super-nmin-empty-release-seconds 1.5,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,492.197,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_super/vehicle_metrics.csv,1500,197.899333,475.0,471.857333,974.25,302.23884,8.591453,-12606.360039,-13764.003592,1500,1500,0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,186.3612
bologna__balanced__low__seed1__mp_spillback_on85_off70,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_spillback_on85_off70,mp,--spillback --spillback-on 0.85 --spillback-off 0.70 --spillback-min-halts 2 --spillback-alpha 0.30,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,494.667,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_spillback_on85_off70/vehicle_metrics.csv,1500,413.572,1657.4,678.583333,2156.05,506.579367,8.749152,-2792628.125518,-2793957.430731,1500,1500,0,0.0,3677.0,1093.0,0.0,15.0,15.0,541.0,0.0,0.0,0.0
bologna__balanced__low__seed1__mp_spillback_on90_off80,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_spillback_on90_off80,mp,--spillback --spillback-on 0.90 --spillback-off 0.80 --spillback-min-halts 3 --spillback-alpha 0.30,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,540.169,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_spillback_on90_off80/vehicle_metrics.csv,1500,431.765333,1814.35,698.232,2268.15,525.970473,8.729126,-3099684.423711,-3101036.648139,1500,1500,0,0.0,3646.0,1101.0,0.0,3.0,3.0,341.0,0.0,0.0,0.0
