map,population_set,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_time_loss_s,avg_mean_speed_mps,avg_vehicles_count,avg_planned_trips,avg_completed_trips,avg_unfinished_trips,avg_censoring_rate,avg_switch_margin_count,avg_switch_max_green_count,avg_nmin_hold_step_count,avg_spillback_block_event_count,avg_spillback_release_event_count,avg_spillback_block_step_count,avg_platoon_extend_step_count,avg_fairness_positive_bonus_count,avg_fairness_bonus_sum
bologna,balanced,low,mp_downstream_b04,1,562.65576,0.0,2249.3,865.653715,0.0,2902.2,696.752059,6.999557,1467.0,1500.0,1467.0,33.0,2.2,18684.0,1238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,low,mp_downstream_b08,1,568.803041,0.0,2465.4,873.177609,0.0,3126.2,705.569302,7.170297,1447.0,1500.0,1447.0,53.0,3.5333,18918.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,low,mp_fair_mu3_w30,1,380.382,0.0,1537.15,644.054667,0.0,1886.55,472.653773,8.91756,1500.0,1500.0,1500.0,0.0,0.0,3930.0,1088.0,0.0,0.0,0.0,0.0,0.0,9047.0,9658.96235
bologna,balanced,low,mp_fair_mu5_w20,1,336.199333,0.0,1295.35,597.088667,0.0,1683.05,426.45488,9.006202,1500.0,1500.0,1500.0,0.0,0.0,3983.0,1066.0,0.0,0.0,0.0,0.0,0.0,6982.0,10946.57593
bologna,balanced,low,mp_lta_g040_sf050,1,394.223333,0.0,1556.15,660.511333,0.0,2003.3,488.321967,8.547685,1500.0,1500.0,1500.0,0.0,0.0,2690.0,1516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,low,mp_lta_g060_sf050,1,416.629259,0.0,1383.0,682.784235,0.0,1858.2,510.896921,8.16891,1497.0,1500.0,1497.0,3.0,0.2,1733.0,2091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,low,mp_nmin_a080_f2,1,481.113409,0.0,2035.0,750.842562,0.0,2537.8,577.914103,8.639949,1499.0,1500.0,1499.0,1.0,0.0667,3909.0,1098.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,low,mp_nmin_a120_f4,1,429.506,0.0,1827.25,696.121333,0.0,2310.15,523.515707,8.775174,1500.0,1500.0,1500.0,0.0,0.0,3852.0,1108.0,5815.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,low,mp_platoon_x2,1,402.287333,0.0,1535.75,667.564667,0.0,2041.0,495.02812,8.87232,1500.0,1500.0,1500.0,0.0,0.0,3654.0,1100.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0
bologna,balanced,low,mp_platoon_x4,1,433.876667,0.0,1808.9,701.862667,0.0,2261.3,529.039027,8.692371,1500.0,1500.0,1500.0,0.0,0.0,3568.0,1107.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0
bologna,balanced,low,mp_program0,1,194.095333,0.0,464.35,463.247333,0.0,919.1,293.61246,8.636784,1500.0,1500.0,1500.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,low,mp_spillback_on85_off70,1,413.572,0.0,1657.4,678.583333,0.0,2156.05,506.579367,8.749152,1500.0,1500.0,1500.0,0.0,0.0,3677.0,1093.0,0.0,15.0,15.0,541.0,0.0,0.0,0.0
bologna,balanced,low,mp_spillback_on90_off80,1,431.765333,0.0,1814.35,698.232,0.0,2268.15,525.970473,8.729126,1500.0,1500.0,1500.0,0.0,0.0,3646.0,1101.0,0.0,3.0,3.0,341.0,0.0,0.0,0.0
bologna,balanced,low,mp_super,1,197.899333,0.0,475.0,471.857333,0.0,974.25,302.23884,8.591453,1500.0,1500.0,1500.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,186.3612
bologna,balanced,low,mp_switch_eps1,1,414.323333,0.0,1660.95,680.378667,0.0,2143.35,507.908213,8.525371,1500.0,1500.0,1500.0,0.0,0.0,2703.0,1533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,low,mp_switch_rel005,1,431.402806,0.0,1650.6,696.496994,0.0,2199.2,524.323961,8.730434,1497.0,1500.0,1497.0,3.0,0.2,3683.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,low,mp_switch_rel010,1,431.835561,0.0,1705.5,696.581551,0.0,2163.5,524.290989,8.75163,1496.0,1500.0,1496.0,4.0,0.2667,3650.0,1139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,medium,fixed_program0,1,528.503362,0.0,2181.0,868.195696,0.0,2914.75,692.75348,6.741733,2974.0,3000.0,2974.0,26.0,0.8667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,medium,fixed_tuned,1,535.978667,0.0,1686.15,873.681,0.0,2401.05,700.694367,5.950807,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,medium,mp_base,1,635.19297,0.0,2654.9,947.567195,0.0,3223.95,769.224935,7.470086,2902.0,3000.0,2902.0,98.0,3.2667,5762.0,1194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,medium,mp_downstream_b04,1,941.508454,0.0,3590.4,1272.390499,0.0,4255.15,1100.899533,5.799983,2484.0,3000.0,2484.0,516.0,17.2,21700.0,1154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
