Run dir: /home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0024_20260527_122000
Gruppi: 9
Ordinamento: wait (asc)

=== bologna / balanced / high ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
12   | mp_nmin_a120_f4         | 429.51      | +111.19      | 696.12        | +46.38         | 523.52          | +217.59          | 0.00%        | 1827.25    | 2310.15      | 8.78           | 1500      | 1
13   | mp_base                 | 431.40      | +112.13      | 696.50        | +46.46         | 524.32          | +218.40          | 0.20%        | 1650.60    | 2199.20      | 8.73           | 1497      | 1
14   | mp_switch_rel005        | 431.40      | +112.13      | 696.50        | +46.46         | 524.32          | +218.40          | 0.20%        | 1650.60    | 2199.20      | 8.73           | 1497      | 1
15   | mp_spillback_on90_off80 | 431.77      | +112.30      | 698.23        | +46.83         | 525.97          | +220.05          | 0.00%        | 1814.35    | 2268.15      | 8.73           | 1500      | 1
16   | mp_switch_rel010        | 431.84      | +112.34      | 696.58        | +46.48         | 524.29          | +218.37          | 0.27%        | 1705.50    | 2163.50      | 8.75           | 1496      | 1
17   | mp_platoon_x4           | 433.88      | +113.34      | 701.86        | +47.59         | 529.04          | +223.12          | 0.00%        | 1808.90    | 2261.30      | 8.69           | 1500      | 1
18   | mp_nmin_a080_f2         | 481.11      | +136.57      | 750.84        | +57.89         | 577.91          | +271.99          | 0.07%        | 2035.00    | 2537.80      | 8.64           | 1499      | 1
19   | mp_downstream_b04       | 562.66      | +176.66      | 865.65        | +82.04         | 696.75          | +390.83          | 2.20%        | 2249.30    | 2902.20      | 7.00           | 1467      | 1
20   | mp_downstream_b08       | 568.80      | +179.69      | 873.18        | +83.62         | 705.57          | +399.65          | 3.53%        | 2465.40    | 3126.20      | 7.17           | 1447      | 1

=== bologna / balanced / medium ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
-----+-------------------------+-------------+--------------+---------------+----------------+-----------------+------------------+--------------+------------+--------------+----------------+-----------+-----
1    | mp_super                | 383.35      | -27.47       | 700.17        | -19.35         | 525.43          | -167.32          | 0.00%        | 1473.30    | 1931.25      | 7.05           | 3000      | 1
2    | mp_program0             | 435.51      | -17.60       | 753.90        | -13.16         | 578.63          | -114.12          | 0.17%        | 1942.80    | 2447.00      | 6.94           | 2995      | 1
3    | fixed_program0          | 528.50      | +0.00        | 868.20        | +0.00          | 692.75          | +0.00            | 0.87%        | 2181.00    | 2914.75      | 6.74           | 2974      | 1
4    | fixed_tuned             | 535.98      | +1.41        | 873.68        | +0.63          | 700.69          | +7.94            | 0.00%        | 1686.15    | 2401.05      | 5.95           | 3000      | 1
5    | mp_lta_g060_sf050       | 615.20      | +16.40       | 921.06        | +6.09          | 742.92          | +50.17           | 2.27%        | 2823.90    | 3381.65      | 7.30           | 2932      | 1
6    | mp_lta_g040_sf050       | 616.11      | +16.58       | 923.90        | +6.42          | 745.49          | +52.74           | 2.37%        | 2490.80    | 3035.20      | 7.47           | 2929      | 1
7    | mp_spillback_on90_off80 | 622.60      | +17.81       | 934.03        | +7.58          | 756.28          | +63.53           | 2.40%        | 2334.85    | 2951.85      | 7.45           | 2928      | 1
8    | mp_base                 | 635.19      | +20.19       | 947.57        | +9.14          | 769.22          | +76.47           | 3.27%        | 2654.90    | 3223.95      | 7.47           | 2902      | 1
