Run dir: /home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0024_20260527_122000
Gruppi: 9
Ordinamento: wait (asc)

=== bologna / balanced / high ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
12   | mp_base                 | 1022.53     | -16.24       | 1383.52       | -20.91         | 1180.66         | -364.59          | 48.72%       | 3969.70    | 4591.55      | 6.31           | 2564      | 1
13   | mp_platoon_x2           | 1035.22     | -15.20       | 1404.03       | -19.73         | 1199.05         | -346.21          | 48.96%       | 4170.05    | 4844.90      | 6.15           | 2552      | 1
14   | mp_spillback_on85_off70 | 1051.78     | -13.84       | 1422.77       | -18.66         | 1226.11         | -319.14          | 48.96%       | 3793.45    | 4512.10      | 6.06           | 2552      | 1
15   | mp_super                | 1103.28     | -9.62        | 1675.92       | -4.19          | 1473.72         | -71.54           | 19.50%       | 3030.80    | 4145.60      | 4.36           | 4025      | 1
16   | mp_program0             | 1203.84     | -1.38        | 1801.20       | +2.97          | 1600.48         | +55.23           | 20.84%       | 3266.45    | 4392.30      | 4.19           | 3958      | 1
17   | fixed_program0          | 1220.73     | +0.00        | 1749.21       | +0.00          | 1545.25         | +0.00            | 25.90%       | 3541.80    | 4631.20      | 4.23           | 3705      | 1
18   | fixed_tuned             | 1318.84     | +8.04        | 1822.56       | +4.19          | 1624.13         | +78.88           | 30.06%       | 3637.00    | 4580.00      | 3.74           | 3497      | 1
19   | mp_downstream_b04       | 1387.15     | +13.63       | 1814.11       | +3.71          | 1605.63         | +60.38           | 60.94%       | 4237.40    | 5030.80      | 4.58           | 1953      | 1
20   | mp_downstream_b08       | 1470.80     | +20.49       | 1890.74       | +8.09          | 1686.06         | +140.81          | 60.42%       | 4466.20    | 5157.10      | 4.39           | 1979      | 1

=== bologna / skewed / low ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
-----+-------------------------+-------------+--------------+---------------+----------------+-----------------+------------------+--------------+------------+--------------+----------------+-----------+-----
1    | mp_super                | 253.91      | -37.25       | 605.20        | -22.56         | 401.72          | -176.31          | 0.00%        | 541.05     | 1111.20      | 8.02           | 1500      | 1
2    | mp_program0             | 276.56      | -31.65       | 632.18        | -19.11         | 428.70          | -149.32          | 0.00%        | 610.10     | 1201.10      | 7.82           | 1500      | 1
3    | fixed_program0          | 404.60      | +0.00        | 781.50        | +0.00          | 578.03          | +0.00            | 0.00%        | 1518.30    | 2271.15      | 7.24           | 1500      | 1
4    | fixed_tuned             | 485.29      | +19.94       | 872.76        | +11.68         | 669.30          | +91.27           | 0.00%        | 1641.55    | 2461.30      | 6.36           | 1500      | 1
5    | mp_platoon_x4           | 560.87      | +38.62       | 913.07        | +16.84         | 707.97          | +129.94          | 0.00%        | 1779.15    | 2310.90      | 7.67           | 1500      | 1
6    | mp_lta_g060_sf050       | 588.07      | +45.34       | 945.66        | +21.01         | 740.52          | +162.49          | 0.00%        | 1904.05    | 2353.80      | 7.12           | 1500      | 1
7    | mp_fair_mu5_w20         | 628.78      | +55.41       | 985.52        | +26.11         | 780.47          | +202.45          | 0.00%        | 1970.25    | 2521.60      | 7.37           | 1500      | 1
8    | mp_switch_eps1          | 631.19      | +56.00       | 982.01        | +25.66         | 776.77          | +198.74          | 0.00%        | 1967.45    | 2422.05      | 7.18           | 1500      | 1
9    | mp_platoon_x2           | 644.27      | +59.24       | 994.09        | +27.20         | 788.82          | +210.79          | 0.00%        | 2108.20    | 2577.05      | 7.43           | 1500      | 1
10   | mp_spillback_on90_off80 | 646.63      | +59.82       | 1008.52       | +29.05         | 803.26          | +225.23          | 0.00%        | 1963.90    | 2483.05      | 7.24           | 1500      | 1
11   | mp_nmin_a120_f4         | 662.57      | +63.76       | 1029.44       | +31.73         | 823.48          | +245.45          | 0.00%        | 2340.85    | 2964.85      | 7.49           | 1500      | 1
12   | mp_lta_g040_sf050       | 663.69      | +64.04       | 1030.76       | +31.90         | 825.33          | +247.30          | 0.00%        | 2058.75    | 2689.15      | 7.13           | 1500      | 1
13   | mp_spillback_on85_off70 | 664.65      | +64.27       | 1027.99       | +31.54         | 822.70          | +244.67          | 0.00%        | 2062.20    | 2610.10      | 7.20           | 1500      | 1
14   | mp_switch_rel010        | 668.38      | +65.19       | 1029.63       | +31.75         | 824.17          | +246.14          | 0.00%        | 2152.65    | 2722.60      | 7.26           | 1500      | 1
15   | mp_base                 | 672.09      | +66.11       | 1033.00       | +32.18         | 827.46          | +249.43          | 0.00%        | 2099.00    | 2591.75      | 7.21           | 1500      | 1
16   | mp_switch_rel005        | 672.09      | +66.11       | 1033.00       | +32.18         | 827.46          | +249.43          | 0.00%        | 2099.00    | 2591.75      | 7.21           | 1500      | 1
17   | mp_fair_mu3_w30         | 696.63      | +72.18       | 1067.38       | +36.58         | 862.06          | +284.04          | 0.00%        | 2377.60    | 3006.15      | 7.38           | 1500      | 1
18   | mp_nmin_a080_f2         | 713.60      | +76.37       | 1078.85       | +38.05         | 873.45          | +295.42          | 0.00%        | 2403.00    | 2896.30      | 7.13           | 1500      | 1
19   | mp_downstream_b04       | 773.79      | +91.25       | 1144.17       | +46.41         | 945.03          | +367.00          | 19.13%       | 3077.40    | 3851.00      | 6.46           | 1213      | 1
20   | mp_downstream_b08       | 871.15      | +115.31      | 1243.09       | +59.07         | 1044.44         | +466.41          | 20.60%       | 3275.50    | 3957.50      | 6.05           | 1191      | 1

=== bologna / skewed / medium ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
-----+-------------------------+-------------+--------------+---------------+----------------+-----------------+------------------+--------------+------------+--------------+----------------+-----------+-----
1    | mp_program0             | 678.46      | -9.62        | 1147.86       | -4.15          | 939.98          | -57.08           | 1.80%        | 2522.25    | 3320.00      | 5.71           | 2946      | 1
2    | mp_super                | 703.57      | -6.28        | 1187.10       | -0.88          | 981.12          | -15.95           | 1.73%        | 2446.30    | 3353.55      | 5.61           | 2948      | 1
3    | fixed_program0          | 750.69      | +0.00        | 1197.59       | +0.00          | 997.06          | +0.00            | 9.80%        | 2502.25    | 3330.25      | 5.58           | 2706      | 1
4    | fixed_tuned             | 1005.80     | +33.98       | 1474.29       | +23.10         | 1274.92         | +277.85          | 10.63%       | 2959.00    | 3811.00      | 4.51           | 2681      | 1
5    | mp_spillback_on90_off80 | 1042.48     | +38.87       | 1425.34       | +19.02         | 1226.90         | +229.83          | 25.83%       | 3537.40    | 4269.40      | 6.53           | 2225      | 1
6    | mp_fair_mu5_w20         | 1082.15     | +44.15       | 1503.92       | +25.58         | 1298.83         | +301.76          | 21.27%       | 3418.75    | 4271.40      | 6.18           | 2362      | 1
7    | mp_platoon_x4           | 1123.34     | +49.64       | 1539.08       | +28.52         | 1332.75         | +335.68          | 18.80%       | 3526.25    | 4228.25      | 6.10           | 2436      | 1
8    | mp_lta_g060_sf050       | 1132.17     | +50.82       | 1554.86       | +29.83         | 1349.73         | +352.66          | 18.37%       | 3542.20    | 4319.20      | 5.98           | 2449      | 1
9    | mp_switch_rel010        | 1145.11     | +52.54       | 1533.21       | +28.03         | 1329.67         | +332.61          | 28.87%       | 4328.05    | 5062.75      | 6.50           | 2134      | 1
10   | mp_spillback_on85_off70 | 1154.45     | +53.79       | 1554.39       | +29.79         | 1353.81         | +356.75          | 22.10%       | 3744.00    | 4486.60      | 6.21           | 2337      | 1
11   | mp_platoon_x2           | 1188.04     | +58.26       | 1607.85       | +34.26         | 1397.84         | +400.78          | 19.70%       | 3895.60    | 4714.60      | 6.26           | 2409      | 1
12   | mp_nmin_a080_f2         | 1188.11     | +58.27       | 1599.25       | +33.54         | 1397.22         | +400.16          | 24.27%       | 4048.45    | 4734.45      | 6.10           | 2272      | 1
13   | mp_base                 | 1190.68     | +58.61       | 1594.18       | +33.12         | 1389.05         | +391.99          | 21.60%       | 3884.45    | 4588.00      | 6.21           | 2352      | 1
14   | mp_switch_rel005        | 1190.68     | +58.61       | 1594.18       | +33.12         | 1389.05         | +391.99          | 21.60%       | 3884.45    | 4588.00      | 6.21           | 2352      | 1
15   | mp_downstream_b08       | 1213.36     | +61.63       | 1627.73       | +35.92         | 1426.20         | +429.14          | 38.70%       | 3891.70    | 4596.50      | 4.96           | 1839      | 1
16   | mp_lta_g040_sf050       | 1230.41     | +63.90       | 1650.00       | +37.78         | 1444.74         | +447.68          | 19.07%       | 4150.55    | 4802.65      | 6.00           | 2428      | 1
17   | mp_switch_eps1          | 1243.34     | +65.63       | 1654.39       | +38.14         | 1451.10         | +454.03          | 21.93%       | 4137.60    | 4928.80      | 6.06           | 2342      | 1
18   | mp_fair_mu3_w30         | 1257.35     | +67.49       | 1681.15       | +40.38         | 1476.78         | +479.72          | 17.87%       | 4065.25    | 4735.55      | 6.01           | 2464      | 1
19   | mp_downstream_b04       | 1271.88     | +69.43       | 1679.89       | +40.27         | 1478.74         | +481.67          | 41.17%       | 4029.00    | 4715.60      | 4.89           | 1765      | 1
20   | mp_nmin_a120_f4         | 1293.62     | +72.32       | 1714.54       | +43.17         | 1505.19         | +508.13          | 21.77%       | 4200.80    | 4976.80      | 6.04           | 2347      | 1
