map,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_speed_mps,avg_vehicles_count
manhattan8x8_100pc,high,fixed_program0,1,45.893578,0.0,109.6,119.001835,0.0,223.8,6.716963,545.0
manhattan8x8_100pc,high,fixed_tuned,1,39.911927,0.0,92.0,115.07156,0.0,221.6,7.025942,545.0
manhattan8x8_100pc,high,mp_base,1,22.941284,0.0,55.0,107.420183,0.0,200.8,8.004785,545.0
manhattan8x8_100pc,high,rbl_base,1,8.902752,0.0,42.0,91.018349,0.0,165.0,9.846963,545.0
