run_id,map,effective_map,demand,pop_seed,scenario,controller,flags,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_speed_mps,mean_co2_g,mean_fuel_g
manhattan8x8_100pc__high__seed1__mp_base,manhattan8x8_100pc,manhattan8x8_100pc,high,1,mp_base,mp,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0014_20260502_181739/populations/manhattan8x8_100pc_high_seed1.yaml,ok,7.95,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0014_20260502_181739/runs/manhattan8x8_100pc__high__seed1__mp_base/vehicle_metrics.csv,545,22.941284,55.0,107.420183,200.8,8.004785,289.654928,93.628517
manhattan8x8_100pc__high__seed1__fixed_program0,manhattan8x8_100pc,manhattan8x8_100pc,high,1,fixed_program0,fixed,--fixed-program-id 0,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0014_20260502_181739/populations/manhattan8x8_100pc_high_seed1.yaml,ok,5.8,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0014_20260502_181739/runs/manhattan8x8_100pc__high__seed1__fixed_program0/vehicle_metrics.csv,545,45.893578,109.6,119.001835,223.8,6.716963,282.716388,91.406736
manhattan8x8_100pc__high__seed1__fixed_tuned,manhattan8x8_100pc,manhattan8x8_100pc,high,1,fixed_tuned,fixed,--fixed-program-id 0 --fixed-main-green-seconds 30,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0014_20260502_181739/populations/manhattan8x8_100pc_high_seed1.yaml,ok,5.718,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0014_20260502_181739/runs/manhattan8x8_100pc__high__seed1__fixed_tuned/vehicle_metrics.csv,545,39.911927,92.0,115.07156,221.6,7.025942,274.676295,88.805005
manhattan8x8_100pc__high__seed1__rbl_base,manhattan8x8_100pc,manhattan8x8_100pc_rbl,high,1,rbl_base,fixed,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0014_20260502_181739/populations/manhattan8x8_100pc_rbl_high_seed1.yaml,ok,4.922,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0014_20260502_181739/runs/manhattan8x8_100pc__high__seed1__rbl_base/vehicle_metrics.csv,545,8.902752,42.0,91.018349,165.0,9.846963,272.549128,88.088631
