run_id,map,effective_map,demand,demand_vehicles,demand_start_time,demand_end_time,population_set,pop_seed,scenario,controller,flags,driver_profile,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_time_loss_s,mean_speed_mps,mean_co2_g,mean_fuel_g,planned_trips,completed_trips,unfinished_trips,censoring_rate,mp_switch_margin_count,mp_switch_max_green_count,mp_nmin_hold_step_count,mp_spillback_block_event_count,mp_spillback_release_event_count,mp_platoon_extend_step_count,mp_fairness_positive_bonus_count,mp_fairness_bonus_sum
masa_100pc__peak__high__seed1__mp_base,masa_100pc,masa_100pc,high,2700,0.0,3600.0,peak,1,mp_base,mp,,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0018_20260517_023911/populations/masa_100pc_peak_high_seed1.yaml,ok,20.001,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0018_20260517_023911/runs/masa_100pc__peak__high__seed1__mp_base/vehicle_metrics.csv,577,49.62565,251.8,195.835355,457.8,100.717296,7.83423,-1856710.41295,-1857029.95311,2700,577,2123,78.62963,139.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
masa_100pc__peak__high__seed1__mp_spillback_on90_off80,masa_100pc,masa_100pc,high,2700,0.0,3600.0,peak,1,mp_spillback_on90_off80,mp,--spillback --spillback-on 0.90 --spillback-off 0.80 --spillback-min-halts 1 --spillback-alpha 0.30,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0018_20260517_023911/populations/masa_100pc_peak_high_seed1.yaml,ok,21.09,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0018_20260517_023911/runs/masa_100pc__peak__high__seed1__mp_spillback_on90_off80/vehicle_metrics.csv,577,49.62565,251.8,195.835355,457.8,100.717296,7.83423,-1856710.41295,-1857029.95311,2700,577,2123,78.62963,139.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
masa_100pc__peak__high__seed1__mp_spillback_on97_off90,masa_100pc,masa_100pc,high,2700,0.0,3600.0,peak,1,mp_spillback_on97_off90,mp,--spillback --spillback-on 0.97 --spillback-off 0.90 --spillback-min-halts 3 --spillback-alpha 0.30,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0018_20260517_023911/populations/masa_100pc_peak_high_seed1.yaml,ok,20.911,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0018_20260517_023911/runs/masa_100pc__peak__high__seed1__mp_spillback_on97_off90/vehicle_metrics.csv,577,49.62565,251.8,195.835355,457.8,100.717296,7.83423,-1856710.41295,-1857029.95311,2700,577,2123,78.62963,139.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
