map,population_set,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_time_loss_s,avg_mean_speed_mps,avg_vehicles_count,avg_planned_trips,avg_completed_trips,avg_unfinished_trips,avg_censoring_rate,avg_switch_margin_count,avg_switch_max_green_count,avg_nmin_hold_step_count,avg_spillback_block_event_count,avg_spillback_release_event_count,avg_platoon_extend_step_count,avg_fairness_positive_bonus_count,avg_fairness_bonus_sum
masa_100pc,peak,high,mp_base,1,49.62565,0.0,251.8,195.835355,0.0,457.8,100.717296,7.83423,577.0,2700.0,577.0,2123.0,78.6296,139.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
masa_100pc,peak,high,mp_spillback_on90_off80,1,49.62565,0.0,251.8,195.835355,0.0,457.8,100.717296,7.83423,577.0,2700.0,577.0,2123.0,78.6296,139.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
masa_100pc,peak,high,mp_spillback_on97_off90,1,49.62565,0.0,251.8,195.835355,0.0,457.8,100.717296,7.83423,577.0,2700.0,577.0,2123.0,78.6296,139.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
