run_id,map,demand,pop_seed,scenario,flags,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_speed_mps,mean_co2_g,mean_fuel_g
manhattan3x3_100pc__low__seed1__mp_base,manhattan3x3_100pc,low,1,mp_base,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0005_20260327_232855/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.426,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0005_20260327_232855/runs/manhattan3x3_100pc__low__seed1__mp_base/vehicle_metrics.csv,26,3.346154,14.25,29.615385,54.0,9.489317,68.691338,22.21013
manhattan3x3_100pc__low__seed1__mp_switch_aware,manhattan3x3_100pc,low,1,mp_switch_aware,--lost-time-aware --lost-time-sat-flow 0.35 --lost-time-gain 0.35,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0005_20260327_232855/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.454,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0005_20260327_232855/runs/manhattan3x3_100pc__low__seed1__mp_switch_aware/vehicle_metrics.csv,26,3.346154,14.25,29.615385,54.0,9.489317,68.691338,22.21013
manhattan3x3_100pc__low__seed1__mp_downstream_aware,manhattan3x3_100pc,low,1,mp_downstream_aware,--spillback --spillback-on 0.95 --spillback-off 0.85 --spillback-min-halts 2 --spillback-alpha 0.30 --downstream-penalty --downstream-beta 1.50 --downstream-alpha 0.30,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0005_20260327_232855/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.474,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0005_20260327_232855/runs/manhattan3x3_100pc__low__seed1__mp_downstream_aware/vehicle_metrics.csv,26,3.384615,13.75,29.615385,54.0,9.261326,67.618715,21.862299
manhattan3x3_100pc__low__seed1__mp_fairness,manhattan3x3_100pc,low,1,mp_fairness,--fairness --fairness-mu 3.0 --fairness-w-half 45.0,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0005_20260327_232855/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.457,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0005_20260327_232855/runs/manhattan3x3_100pc__low__seed1__mp_fairness/vehicle_metrics.csv,26,3.346154,14.25,29.615385,54.0,9.489317,68.691338,22.21013
manhattan3x3_100pc__low__seed1__mp_platoon_safe,manhattan3x3_100pc,low,1,mp_platoon_safe,--platoon-extension --platoon-headway-threshold 1.6 --platoon-gap-out-seconds 1.6 --platoon-max-extra-green 3.0 --platoon-guard-occ 0.80 --spillback --spillback-on 0.95 --spillback-off 0.85 --spillback-min-halts 2 --spillback-alpha 0.30 --downstream-penalty --downstream-beta 1.00 --downstream-alpha 0.30,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0005_20260327_232855/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.506,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0005_20260327_232855/runs/manhattan3x3_100pc__low__seed1__mp_platoon_safe/vehicle_metrics.csv,26,3.461538,14.5,29.615385,54.0,9.258158,67.499873,21.823778
manhattan3x3_100pc__low__seed1__mp_all_on,manhattan3x3_100pc,low,1,mp_all_on,--spillback --spillback-on 0.95 --spillback-off 0.85 --spillback-min-halts 2 --spillback-alpha 0.30 --lost-time-aware --lost-time-sat-flow 0.35 --lost-time-gain 0.30 --downstream-penalty --downstream-beta 1.00 --downstream-alpha 0.30 --fairness --fairness-mu 3.0 --fairness-w-half 45.0 --nmin-dynamic --nmin-alpha 0.60 --nmin-floor 1 --nmin-empty-release-seconds 1.2 --platoon-extension --platoon-headway-threshold 1.6 --platoon-gap-out-seconds 1.6 --platoon-max-extra-green 3.0 --platoon-guard-occ 0.80,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0005_20260327_232855/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.513,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0005_20260327_232855/runs/manhattan3x3_100pc__low__seed1__mp_all_on/vehicle_metrics.csv,26,3.346154,14.25,29.615385,54.0,9.489317,68.691338,22.21013
