map,demand,scenario,avg_mean_wait_s,avg_mean_travel_s,wait_delta_vs_base_pct,travel_delta_vs_base_pct
manhattan3x3_100pc,low,mp_all_on,3.346154,29.615385,0.0,0.0
manhattan3x3_100pc,low,mp_base,3.346154,29.615385,0.0,0.0
manhattan3x3_100pc,low,mp_downstream_aware,3.384615,29.615385,1.1494,0.0
manhattan3x3_100pc,low,mp_fairness,3.346154,29.615385,0.0,0.0
manhattan3x3_100pc,low,mp_platoon_safe,3.461538,29.615385,3.4483,0.0
manhattan3x3_100pc,low,mp_switch_aware,3.346154,29.615385,0.0,0.0
