run_id,map,effective_map,demand,demand_vehicles,demand_start_time,demand_end_time,population_set,pop_seed,scenario,controller,flags,driver_profile,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_time_loss_s,mean_speed_mps,mean_co2_g,mean_fuel_g,planned_trips,completed_trips,unfinished_trips,censoring_rate,mp_switch_margin_count,mp_switch_max_green_count,mp_nmin_hold_step_count,mp_spillback_block_event_count,mp_spillback_release_event_count,mp_spillback_block_step_count,mp_platoon_extend_step_count,mp_fairness_positive_bonus_count,mp_fairness_bonus_sum
bologna__peak__high__seed1__mp_base,bologna,bologna,high,5000,0.0,3600.0,peak,1,mp_base,mp,,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0020_20260517_034036/populations/bologna_peak_high_seed1.yaml,ok,302.497,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0020_20260517_034036/runs/bologna__peak__high__seed1__mp_base/vehicle_metrics.csv,1951,541.192722,1549.0,900.368529,2070.0,722.614833,6.284796,-5211338.729578,-5212807.566763,5000,1951,3049,60.98,5180.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__peak__high__seed1__mp_spillback_on85_off70,bologna,bologna,high,5000,0.0,3600.0,peak,1,mp_spillback_on85_off70,mp,--spillback --spillback-on 0.85 --spillback-off 0.70 --spillback-min-halts 2 --spillback-alpha 0.30,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0020_20260517_034036/populations/bologna_peak_high_seed1.yaml,ok,393.887,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0020_20260517_034036/runs/bologna__peak__high__seed1__mp_spillback_on85_off70/vehicle_metrics.csv,1900,597.807895,1748.05,957.164211,2354.0,777.493821,6.239444,-8333350.916869,-8334891.522371,5000,1900,3100,62.0,5384.0,694.0,0.0,428.0,396.0,36345.0,0.0,0.0,0.0
bologna__peak__high__seed1__mp_spillback_on90_off80,bologna,bologna,high,5000,0.0,3600.0,peak,1,mp_spillback_on90_off80,mp,--spillback --spillback-on 0.90 --spillback-off 0.80 --spillback-min-halts 3 --spillback-alpha 0.30,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0020_20260517_034036/populations/bologna_peak_high_seed1.yaml,ok,394.623,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0020_20260517_034036/runs/bologna__peak__high__seed1__mp_spillback_on90_off80/vehicle_metrics.csv,1762,564.330306,1832.0,900.458002,2388.25,726.973258,6.521059,-5337907.706386,-5339369.559772,5000,1762,3238,64.76,5185.0,702.0,0.0,359.0,333.0,33131.0,0.0,0.0,0.0
