map,population_set,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_time_loss_s,avg_mean_speed_mps,avg_vehicles_count,avg_planned_trips,avg_completed_trips,avg_unfinished_trips,avg_censoring_rate,avg_switch_margin_count,avg_switch_max_green_count,avg_nmin_hold_step_count,avg_spillback_block_event_count,avg_spillback_release_event_count,avg_spillback_block_step_count,avg_platoon_extend_step_count,avg_fairness_positive_bonus_count,avg_fairness_bonus_sum
bologna,peak,high,mp_base,1,541.192722,0.0,1549.0,900.368529,0.0,2070.0,722.614833,6.284796,1951.0,5000.0,1951.0,3049.0,60.98,5180.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,high,mp_spillback_on85_off70,1,597.807895,0.0,1748.05,957.164211,0.0,2354.0,777.493821,6.239444,1900.0,5000.0,1900.0,3100.0,62.0,5384.0,694.0,0.0,428.0,396.0,36345.0,0.0,0.0,0.0
bologna,peak,high,mp_spillback_on90_off80,1,564.330306,0.0,1832.0,900.458002,0.0,2388.25,726.973258,6.521059,1762.0,5000.0,1762.0,3238.0,64.76,5185.0,702.0,0.0,359.0,333.0,33131.0,0.0,0.0,0.0
