map,population_set,demand,scenario,delta_baseline_scenario,avg_mean_wait_s,avg_mean_travel_s,avg_mean_time_loss_s,wait_delta_vs_base_pct,travel_delta_vs_base_pct,time_loss_delta_vs_base_s
bologna,peak,low,mp_base,fixed_program0,775.743333,1160.748667,953.197187,27.3661,12.4983,127.536
bologna,peak,low,mp_fair_mu5_w20,fixed_program0,744.705111,1135.248445,927.753142,22.27,10.0269,102.0919
bologna,peak,low,mp_lta_g060_sf050,fixed_program0,765.942444,1152.271111,944.529998,25.7569,11.6767,118.8688
bologna,peak,low,mp_nmin_a120_f4,fixed_program0,815.705333,1210.928222,1002.962015,33.9272,17.3617,177.3008
bologna,peak,low,mp_platoon_x2,fixed_program0,776.129556,1164.221778,956.261869,27.4295,12.8349,130.6007
bologna,peak,low,mp_program0,fixed_program0,401.917555,807.992444,602.432553,-34.0108,-21.6904,-223.2287
bologna,peak,low,mp_spillback_on90_off80,fixed_program0,829.198667,1216.778,1008.593085,36.1427,17.9286,182.9319
bologna,peak,low,mp_super,fixed_program0,396.672667,805.796889,600.403427,-34.872,-21.9032,-225.2578
bologna,peak,low,mp_super_no_safe,fixed_program0,399.451111,806.862667,601.623624,-34.4158,-21.7999,-224.0376
bologna,peak,medium,fixed_program0,fixed_program0,1607.377,2193.009889,1978.031791,0.0,0.0,0.0
bologna,peak,medium,fixed_tuned,fixed_program0,1811.074444,2406.453,2190.734776,12.6727,9.7329,212.703
bologna,peak,medium,mp_base,fixed_program0,2065.158778,2606.549111,2386.334974,28.4801,18.8572,408.3032
bologna,peak,medium,mp_fair_mu5_w20,fixed_program0,1886.505444,2443.056,2225.598837,17.3655,11.402,247.567
bologna,peak,medium,mp_lta_g060_sf050,fixed_program0,2271.327445,2829.857444,2606.562161,41.3065,29.0399,628.5304
bologna,peak,medium,mp_nmin_a120_f4,fixed_program0,2153.56,2712.875,2490.772253,33.9798,23.7056,512.7405
bologna,peak,medium,mp_platoon_x2,fixed_program0,2011.501555,2552.321778,2333.795716,25.1419,16.3844,355.7639
bologna,peak,medium,mp_program0,fixed_program0,1113.712778,1705.237444,1495.88698,-30.7124,-22.2421,-482.1448
bologna,peak,medium,mp_spillback_on90_off80,fixed_program0,2161.428111,2709.387111,2490.003469,34.4693,23.5465,511.9717
bologna,peak,medium,mp_super,fixed_program0,1097.529111,1697.403222,1487.850752,-31.7192,-22.5994,-490.181
bologna,peak,medium,mp_super_no_safe,fixed_program0,1107.630555,1714.725111,1505.821904,-31.0908,-21.8095,-472.2099
bologna,skewed,high,fixed_program0,fixed_program0,2641.394133,3352.548133,3112.456924,0.0,0.0,0.0
bologna,skewed,high,fixed_tuned,fixed_program0,2936.729733,3664.890133,3425.917646,11.1811,9.3166,313.4607
bologna,skewed,high,mp_base,fixed_program0,5361.344067,6193.391,5926.146069,102.974,84.7368,2813.6891
bologna,skewed,high,mp_fair_mu5_w20,fixed_program0,5010.773867,5886.888467,5619.771643,89.7019,75.5945,2507.3147
bologna,skewed,high,mp_lta_g060_sf050,fixed_program0,5466.419267,6291.9394,6015.95757,106.952,87.6763,2903.5006
bologna,skewed,high,mp_nmin_a120_f4,fixed_program0,5720.296133,6573.876133,6301.7881,116.5635,96.086,3189.3312
bologna,skewed,high,mp_platoon_x2,fixed_program0,5391.972133,6236.114733,5963.545522,104.1336,86.0112,2851.0886
bologna,skewed,high,mp_program0,fixed_program0,1702.4606,2453.533867,2232.955591,-35.5469,-26.8158,-879.5013
bologna,skewed,high,mp_spillback_on90_off80,fixed_program0,5119.106733,5930.223133,5674.186203,93.8032,76.887,2561.7293
bologna,skewed,high,mp_super,fixed_program0,1790.156933,2538.955333,2318.483681,-32.2268,-24.2679,-793.9732
bologna,skewed,high,mp_super_no_safe,fixed_program0,1778.103,2533.332067,2313.622872,-32.6832,-24.4356,-798.8341
