map,population_set,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_time_loss_s,avg_mean_speed_mps,avg_vehicles_count,avg_planned_trips,avg_completed_trips,avg_unfinished_trips,avg_censoring_rate,avg_switch_margin_count,avg_switch_max_green_count,avg_nmin_hold_step_count,avg_spillback_block_event_count,avg_spillback_release_event_count,avg_spillback_block_step_count,avg_platoon_extend_step_count,avg_fairness_positive_bonus_count,avg_fairness_bonus_sum,avg_mp_super_mode_switch_count,avg_mp_super_program0_to_mp_count,avg_mp_super_mp_to_program0_count,avg_mp_super_program0_step_count,avg_mp_super_base_step_count,avg_mp_super_lta_step_count,avg_mp_super_nmin_step_count,avg_mp_super_fair_step_count,avg_mp_super_platoon_step_count,avg_mp_super_safe_step_count,avg_mp_super_load_sum,avg_mp_super_imbalance_sum,avg_mp_super_wait_imbalance_sum,avg_mp_super_burstiness_sum,avg_mp_super_platoon_sum,avg_mp_super_downstream_sum
bologna,balanced,high,fixed_program0,3,1195.510267,46.530657,4783.6,1649.3074,39.301228,5748.45,1466.0633,5.12043,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,fixed_tuned,3,1363.040667,44.895418,4909.466667,1832.217533,47.89009,5972.9,1651.841212,4.246679,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_base,3,1852.887667,145.724459,6382.033333,2311.9338,175.876841,7417.616667,2117.260753,5.127056,5000.0,5000.0,5000.0,0.0,0.0,8903.333333,1785.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_fair_mu5_w20,3,1721.684667,89.799828,5643.1,2179.2148,101.390174,6566.783333,1988.687598,4.985769,5000.0,5000.0,5000.0,0.0,0.0,10449.666667,1633.666667,0.0,0.0,0.0,0.0,0.0,97341.0,352225.959543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_lta_g060_sf050,3,1947.650933,187.213305,6634.733333,2403.507133,198.004212,7698.933333,2206.981513,4.945751,5000.0,5000.0,5000.0,0.0,0.0,5118.0,3382.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_nmin_a120_f4,3,2098.177733,152.335927,6692.466667,2567.1292,152.231154,7676.583333,2367.469438,4.967235,5000.0,5000.0,5000.0,0.0,0.0,10194.666667,1802.666667,23562.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_platoon_x2,3,1872.734733,124.598115,6163.433333,2333.431333,128.612259,7244.85,2139.824377,4.959675,5000.0,5000.0,5000.0,0.0,0.0,8855.666667,1762.666667,0.0,0.0,0.0,0.0,639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_program0,3,916.112867,88.559864,3386.9,1357.778,86.419571,4181.2,1174.344956,5.270756,5000.0,5000.0,5000.0,0.0,0.0,1168.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_spillback_on90_off80,3,2039.751933,150.766592,6777.116667,2504.988333,179.51094,7771.55,2308.710978,4.896939,5000.0,5000.0,5000.0,0.0,0.0,8603.666667,1835.0,0.0,652.666667,652.666667,69285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_super,3,913.5834,44.749245,3652.8,1345.712733,46.341487,4379.85,1160.480527,5.280793,5000.0,5000.0,5000.0,0.0,0.0,1835.666667,0.0,0.0,36.666667,31.333333,3654.666667,4.333333,1018.333333,2462.011407,3335.666667,1053.666667,1053.666667,1639091.333333,7842.333333,22401.666667,10739.0,4389.333333,43.666667,5908.666667,66429.162721,220040.523916,195566.076318,19363.189103,10488.666667,70699.460182
