run_id,map,demand,pop_seed,scenario,flags,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_speed_mps,mean_co2_g,mean_fuel_g
manhattan3x3_100pc__low__seed1__mp_base,manhattan3x3_100pc,low,1,mp_base,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0007_20260327_233816/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.455,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0007_20260327_233816/runs/manhattan3x3_100pc__low__seed1__mp_base/vehicle_metrics.csv,26,3.346154,14.25,29.615385,54.0,9.489317,68.691338,22.21013
manhattan3x3_100pc__low__seed1__mp_nmin_only,manhattan3x3_100pc,low,1,mp_nmin_only,--nmin-dynamic --lost-time-sat-flow 0.35 --nmin-alpha 0.60 --nmin-floor 1 --nmin-empty-release-seconds 1.2,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0007_20260327_233816/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.454,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0007_20260327_233816/runs/manhattan3x3_100pc__low__seed1__mp_nmin_only/vehicle_metrics.csv,26,3.346154,14.25,29.615385,54.0,9.489317,68.691338,22.21013
manhattan3x3_100pc__low__seed1__mp_lta_plus_nmin,manhattan3x3_100pc,low,1,mp_lta_plus_nmin,--lost-time-aware --nmin-dynamic --lost-time-sat-flow 0.35 --lost-time-gain 0.30 --nmin-alpha 0.60 --nmin-floor 1 --nmin-empty-release-seconds 1.2,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0007_20260327_233816/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.449,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0007_20260327_233816/runs/manhattan3x3_100pc__low__seed1__mp_lta_plus_nmin/vehicle_metrics.csv,26,3.346154,14.25,29.615385,54.0,9.489317,68.691338,22.21013
