run_id,map,demand,pop_seed,scenario,flags,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_speed_mps,mean_co2_g,mean_fuel_g
manhattan3x3_100pc__low__seed1__mp_base,manhattan3x3_100pc,low,1,mp_base,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0002_20260327_230042/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.377,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0002_20260327_230042/runs/manhattan3x3_100pc__low__seed1__mp_base/vehicle_metrics.csv,11,1.545455,7.0,16.272727,25.5,9.202601,31.18684,10.093108
manhattan3x3_100pc__low__seed1__mp_switch_aware,manhattan3x3_100pc,low,1,mp_switch_aware,--lost-time-aware --nmin-dynamic,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0002_20260327_230042/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.37,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0002_20260327_230042/runs/manhattan3x3_100pc__low__seed1__mp_switch_aware/vehicle_metrics.csv,11,2.454545,12.0,16.272727,25.5,8.871555,30.280116,9.800872
manhattan3x3_100pc__low__seed1__mp_downstream_aware,manhattan3x3_100pc,low,1,mp_downstream_aware,--spillback --downstream-penalty,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0002_20260327_230042/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.391,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0002_20260327_230042/runs/manhattan3x3_100pc__low__seed1__mp_downstream_aware/vehicle_metrics.csv,11,1.272727,5.5,16.272727,25.5,9.345579,32.503724,10.519969
manhattan3x3_100pc__low__seed1__mp_fairness,manhattan3x3_100pc,low,1,mp_fairness,--fairness,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0002_20260327_230042/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.377,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0002_20260327_230042/runs/manhattan3x3_100pc__low__seed1__mp_fairness/vehicle_metrics.csv,11,1.545455,7.0,16.272727,25.5,9.202601,31.18684,10.093108
manhattan3x3_100pc__low__seed1__mp_platoon_safe,manhattan3x3_100pc,low,1,mp_platoon_safe,--platoon-extension --spillback --downstream-penalty,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0002_20260327_230042/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.404,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0002_20260327_230042/runs/manhattan3x3_100pc__low__seed1__mp_platoon_safe/vehicle_metrics.csv,11,1.272727,5.5,16.272727,25.5,9.345579,32.503724,10.519969
manhattan3x3_100pc__low__seed1__mp_all_on,manhattan3x3_100pc,low,1,mp_all_on,--spillback --lost-time-aware --downstream-penalty --fairness --nmin-dynamic --platoon-extension,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0002_20260327_230042/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.411,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0002_20260327_230042/runs/manhattan3x3_100pc__low__seed1__mp_all_on/vehicle_metrics.csv,11,2.454545,12.0,16.272727,25.5,8.871555,30.280116,9.800872
