run_id,map,effective_map,demand,pop_seed,scenario,controller,flags,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_speed_mps,mean_co2_g,mean_fuel_g
manhattan8x8_100pc__low__seed1__mp_base,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_base,mp,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0012_20260430_174548/populations/manhattan8x8_100pc_low_seed1.yaml,ok,1.99,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0012_20260430_174548/runs/manhattan8x8_100pc__low__seed1__mp_base/vehicle_metrics.csv,26,4.192308,7.0,30.5,54.0,8.602526,74.338413,24.014484
manhattan8x8_100pc__low__seed1__fixed_base,manhattan8x8_100pc,manhattan8x8_100pc,low,1,fixed_base,fixed,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0012_20260430_174548/populations/manhattan8x8_100pc_low_seed1.yaml,ok,1.41,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0012_20260430_174548/runs/manhattan8x8_100pc__low__seed1__fixed_base/vehicle_metrics.csv,26,9.192308,26.0,30.5,54.0,7.87028,56.824141,18.363499
manhattan8x8_100pc__low__seed1__rbl_base,manhattan8x8_100pc,manhattan8x8_100pc_rbl,low,1,rbl_base,fixed,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0012_20260430_174548/populations/manhattan8x8_100pc_rbl_low_seed1.yaml,ok,1.442,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0012_20260430_174548/runs/manhattan8x8_100pc__low__seed1__rbl_base/vehicle_metrics.csv,26,0.0,0.0,30.423077,53.5,10.882521,94.386727,30.482447
