run_id,map,effective_map,demand,demand_vehicles,demand_start_time,demand_end_time,population_set,pop_seed,scenario,controller,flags,driver_profile,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_time_loss_s,mean_speed_mps,mean_co2_g,mean_fuel_g,planned_trips,completed_trips,unfinished_trips,censoring_rate,mp_switch_margin_count,mp_switch_max_green_count,mp_nmin_hold_step_count,mp_spillback_block_event_count,mp_spillback_release_event_count,mp_spillback_block_step_count,mp_platoon_extend_step_count,mp_fairness_positive_bonus_count,mp_fairness_bonus_sum,mp_super_mode_switch_count,mp_super_program0_to_mp_count,mp_super_mp_to_program0_count,mp_super_program0_step_count,mp_super_base_step_count,mp_super_lta_step_count,mp_super_nmin_step_count,mp_super_fair_step_count,mp_super_platoon_step_count,mp_super_safe_step_count,mp_super_load_sum,mp_super_imbalance_sum,mp_super_wait_imbalance_sum,mp_super_burstiness_sum,mp_super_platoon_sum,mp_super_downstream_sum
manhattan8x8_100pc__balanced__low__seed1__mp_nmin_a080_f2,manhattan8x8_100pc,manhattan8x8_100pc,low,2400,0.0,3600.0,balanced,1,mp_nmin_a080_f2,mp,--nmin-dynamic --lost-time-sat-flow 0.50 --nmin-alpha 0.80 --nmin-floor 2 --nmin-min-green 4.0 --nmin-demand-gain 0.25 --nmin-empty-release-seconds 1.0,human_light,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/populations/manhattan8x8_100pc_balanced_low_seed1.yaml,ok,424.319,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/runs/manhattan8x8_100pc__balanced__low__seed1__mp_nmin_a080_f2/vehicle_metrics.csv,2400,24.025833,49.0,139.943333,232.0,55.693937,8.335501,435.325227,140.620714,2400,2400,0,0.0,6727.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc__balanced__low__seed1__mp_base,manhattan8x8_100pc,manhattan8x8_100pc,low,2400,0.0,3600.0,balanced,1,mp_base,mp,,human_light,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/populations/manhattan8x8_100pc_balanced_low_seed1.yaml,ok,435.535,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/runs/manhattan8x8_100pc__balanced__low__seed1__mp_base/vehicle_metrics.csv,2400,27.044583,56.0,142.494167,238.0,58.248096,8.198424,438.641452,141.692425,2400,2400,0,0.0,6116.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc__balanced__low__seed1__mp_lta_g060_sf050,manhattan8x8_100pc,manhattan8x8_100pc,low,2400,0.0,3600.0,balanced,1,mp_lta_g060_sf050,mp,--lost-time-aware --lost-time-sat-flow 0.50 --lost-time-gain 0.60,human_light,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/populations/manhattan8x8_100pc_balanced_low_seed1.yaml,ok,436.987,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/runs/manhattan8x8_100pc__balanced__low__seed1__mp_lta_g060_sf050/vehicle_metrics.csv,2400,31.206667,75.0,146.66875,248.0,62.412679,8.04257,445.779621,143.997724,2400,2400,0,0.0,5283.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc__balanced__low__seed1__mp_fair_mu5_w20,manhattan8x8_100pc,manhattan8x8_100pc,low,2400,0.0,3600.0,balanced,1,mp_fair_mu5_w20,mp,--fairness --fairness-mu 5.0 --fairness-w-half 20.0,human_light,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/populations/manhattan8x8_100pc_balanced_low_seed1.yaml,ok,444.156,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/runs/manhattan8x8_100pc__balanced__low__seed1__mp_fair_mu5_w20/vehicle_metrics.csv,2400,26.915833,56.0,142.602917,235.0,58.356883,8.194306,441.083668,142.476501,2400,2400,0,0.0,6086.0,71.0,0.0,0.0,0.0,0.0,0.0,5583.0,3205.251763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc__balanced__low__seed1__mp_downstream_b04,manhattan8x8_100pc,manhattan8x8_100pc,low,2400,0.0,3600.0,balanced,1,mp_downstream_b04,mp,--downstream-penalty --downstream-beta 0.4 --downstream-alpha 0.30,human_light,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/populations/manhattan8x8_100pc_balanced_low_seed1.yaml,ok,514.838,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/runs/manhattan8x8_100pc__balanced__low__seed1__mp_downstream_b04/vehicle_metrics.csv,2400,32.078333,68.0,150.311667,255.05,66.077888,7.808226,466.867293,150.803935,2400,2400,0,0.0,10351.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc__balanced__low__seed1__mp_spillback_on90_off80,manhattan8x8_100pc,manhattan8x8_100pc,low,2400,0.0,3600.0,balanced,1,mp_spillback_on90_off80,mp,--spillback --spillback-on 0.90 --spillback-off 0.80 --spillback-min-halts 3 --spillback-alpha 0.30,human_light,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/populations/manhattan8x8_100pc_balanced_low_seed1.yaml,ok,935.578,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/runs/manhattan8x8_100pc__balanced__low__seed1__mp_spillback_on90_off80/vehicle_metrics.csv,2400,27.044583,56.0,142.494167,238.0,58.248096,8.198424,438.641452,141.692425,2400,2400,0,0.0,6116.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc__balanced__low__seed1__mp_switch_rel005,manhattan8x8_100pc,manhattan8x8_100pc,low,2400,0.0,3600.0,balanced,1,mp_switch_rel005,mp,--switch-epsilon-rel 0.05,human_light,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/populations/manhattan8x8_100pc_balanced_low_seed1.yaml,ok,432.719,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/runs/manhattan8x8_100pc__balanced__low__seed1__mp_switch_rel005/vehicle_metrics.csv,2400,27.044583,56.0,142.494167,238.0,58.248096,8.198424,438.641452,141.692425,2400,2400,0,0.0,6116.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc__balanced__low__seed1__fixed_program0,manhattan8x8_100pc,manhattan8x8_100pc,low,2400,0.0,3600.0,balanced,1,fixed_program0,fixed,--fixed-program-id 0,human_light,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/populations/manhattan8x8_100pc_balanced_low_seed1.yaml,ok,117.897,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/runs/manhattan8x8_100pc__balanced__low__seed1__fixed_program0/vehicle_metrics.csv,2400,66.150417,140.0,178.274167,301.0,94.011783,6.796913,473.292519,152.925399,2400,2400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc__balanced__low__seed1__mp_platoon_x4,manhattan8x8_100pc,manhattan8x8_100pc,low,2400,0.0,3600.0,balanced,1,mp_platoon_x4,mp,--platoon-extension --platoon-headway-threshold 2.1 --platoon-gap-out-seconds 2.1 --platoon-max-extra-green 4.0 --platoon-guard-occ 0.90,human_light,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/populations/manhattan8x8_100pc_balanced_low_seed1.yaml,ok,767.678,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/runs/manhattan8x8_100pc__balanced__low__seed1__mp_platoon_x4/vehicle_metrics.csv,2400,27.137917,57.0,142.989583,236.0,58.75495,8.178759,440.174603,142.185985,2400,2400,0,0.0,6088.0,92.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc__balanced__low__seed2__mp_base,manhattan8x8_100pc,manhattan8x8_100pc,low,2400,0.0,3600.0,balanced,2,mp_base,mp,,human_light,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/populations/manhattan8x8_100pc_balanced_low_seed2.yaml,ok,419.137,/home/jakubhomoncik/sumo-traffic-control/logs/ablation/runs/run_0028_20260612_131724/runs/manhattan8x8_100pc__balanced__low__seed2__mp_base/vehicle_metrics.csv,2400,26.7,56.0,140.413333,235.0,57.497946,8.16222,425.748617,137.527068,2400,2400,0,0.0,6130.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
