run_id,map,demand,pop_seed,scenario,flags,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_speed_mps,mean_co2_g,mean_fuel_g
manhattan3x3_100pc__low__seed1__mp_base,manhattan3x3_100pc,low,1,mp_base,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0006_20260327_232909/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.45,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0006_20260327_232909/runs/manhattan3x3_100pc__low__seed1__mp_base/vehicle_metrics.csv,26,3.346154,14.25,29.615385,54.0,9.489317,68.691338,22.21013
manhattan3x3_100pc__low__seed1__mp_lta_g030,manhattan3x3_100pc,low,1,mp_lta_g030,--lost-time-aware --lost-time-sat-flow 0.35 --lost-time-gain 0.30,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0006_20260327_232909/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.451,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0006_20260327_232909/runs/manhattan3x3_100pc__low__seed1__mp_lta_g030/vehicle_metrics.csv,26,3.346154,14.25,29.615385,54.0,9.489317,68.691338,22.21013
manhattan3x3_100pc__low__seed1__mp_downstream_b12,manhattan3x3_100pc,low,1,mp_downstream_b12,--spillback --spillback-on 0.95 --spillback-off 0.85 --spillback-min-halts 2 --spillback-alpha 0.30 --downstream-penalty --downstream-beta 1.2 --downstream-alpha 0.30,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0006_20260327_232909/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.477,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0006_20260327_232909/runs/manhattan3x3_100pc__low__seed1__mp_downstream_b12/vehicle_metrics.csv,26,3.461538,14.5,29.615385,54.0,9.258158,67.499873,21.823778
manhattan3x3_100pc__low__seed1__mp_platoon_x3,manhattan3x3_100pc,low,1,mp_platoon_x3,--platoon-extension --platoon-headway-threshold 1.6 --platoon-gap-out-seconds 1.6 --platoon-max-extra-green 3.0 --platoon-guard-occ 0.80 --spillback --spillback-on 0.95 --spillback-off 0.85 --spillback-min-halts 2 --spillback-alpha 0.30 --downstream-penalty --downstream-beta 1.00 --downstream-alpha 0.30,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0006_20260327_232909/populations/manhattan3x3_100pc_low_seed1.yaml,ok,1.51,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0006_20260327_232909/runs/manhattan3x3_100pc__low__seed1__mp_platoon_x3/vehicle_metrics.csv,26,3.461538,14.5,29.615385,54.0,9.258158,67.499873,21.823778
